S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
100,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline,10,44.64678993138623,0.31595005420724026,0.008084376078734657,0.27899999999999997,0.493,548028.3616027002
100,0.2,1.0,1.0,deterministic,0.1,tw_offline,10,45.36917866893033,0.31623467313438375,0.00809193177246666,0.302,0.5369999999999999,540449.5068298773
100,0.2,1.0,1.0,deterministic,0.1,tw_support_offline,10,47.25662801662747,0.07277692449893029,0.0005178089469305262,0.32,0.57,543836.4492813742
100,0.3,1.0,1.0,deterministic,0.1,exp4_dense,10,63.94456658067719,0.37653992216052423,0.009635052015314569,0.403,0.669,375933.6931696161
100,0.3,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,54.516438287119456,0.3759960637319854,0.009621011742987542,0.358,0.593,458866.1694325089
100,0.3,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,51.887290567432046,0.37633531536124326,0.009629814588262878,0.2919999999999999,0.575,482755.6730178982
100,0.3,1.0,1.0,deterministic,0.1,oracle,10,85.98528604336028,0.3763422971440339,0.009629996900295862,0.732,0.8910000000000002,151875.76674284143
100,0.3,1.0,1.0,deterministic,0.1,state_thompson,10,44.49714984657413,0.3761385272116328,0.009624766007115633,0.26600000000000007,0.4699999999999999,553465.5420830369
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_dense,10,51.391063384792815,0.3758605497541199,0.009617389906300736,0.31700000000000006,0.563,488550.5861607965
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,52.92585606935145,0.31933606776530205,0.008171214519772695,0.333,0.5850000000000001,463006.20676867105
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_offline,10,55.10122020337781,0.3201488572971064,0.0081920984046484,0.339,0.563,456821.5215668691
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,67.911504011134,0.3761431645702763,0.009624793942560984,0.42699999999999994,0.7,320959.063558201
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,71.08196724099516,0.3196515371219603,0.008179365951979671,0.44399999999999995,0.704,297383.7793810714
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,70.49674417405363,0.319801809107963,0.008182880076049847,0.446,0.692,300376.22625999403
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,70.6886800966509,0.07439950683794713,0.0007081209297646799,0.442,0.7110000000000001,288584.7419302855
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,60.633827298806715,0.07447347668595175,0.0007302515232749091,0.387,0.617,397139.33337278914
100,0.3,1.0,1.0,deterministic,0.1,tw_dense,10,49.79911616968969,0.37606349983622656,0.009622633597137473,0.31700000000000006,0.5589999999999999,529226.5744650688
100,0.3,1.0,1.0,deterministic,0.1,tw_gated_offline,10,47.97213516015774,0.3194899485034692,0.0081752371695883,0.29300000000000004,0.534,532937.5804174118
100,0.3,1.0,1.0,deterministic,0.1,tw_offline,10,43.929500295778794,0.3197694602633552,0.008182247886764398,0.291,0.528,556582.9973827846
100,0.3,1.0,1.0,deterministic,0.1,tw_support_offline,10,59.19699546671423,0.07491350757087986,0.000737853396115884,0.393,0.6360000000000001,394903.95991132443
20,0.0,1.0,1.0,deterministic,0.1,exp4_dense,10,79.09104501853852,0.24035756661568156,0.027545377862745902,0.514,0.759,207284.43166849943
20,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,66.42886865087014,0.23315757288277048,0.025401709785696946,0.43600000000000005,0.6659999999999999,307848.9507816027
20,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,66.46557488158501,0.2326796395611231,0.025124481157612392,0.42799999999999994,0.6920000000000001,306496.5303012222
